image_path,caption_id,caption_text
images/3910511.jpg,4bde0737-f255-4a68-b57a-497321b99c64,an image of a city street with a horse drawn [SEP]
images/3910539.jpg,be50790a-d58e-4780-a8b4-b07576a8ecb5,an image of a group of people in a courtyard [SEP]
images/3910471.jpg,c3dde9af-acc5-4f87-b26c-e9a83e4bddde,an image of a man in a coat and hat [SEP]
images/3910465.jpg,959f2724-57c1-49d7-ba06-90648de460a2,an image of a cartoon of a man and woman [SEP]
images/3910459.jpg,9ea540da-eb9b-4f06-aedc-8943e9f5cce6,an image of a nude woman lying on a bed [SEP]
images/3910473.jpg,64308e39-8e15-40ee-9a9f-a7571c43ff09,an image of a man running with a hat on his head [SEP]
images/3910467.jpg,e7b63714-57d5-4e96-8e75-987d0276b141,an image of a man being taken from a man's body [SEP]
images/3910507.jpg,6c2f4ef4-077b-4b93-9ad1-504eae1f6409,an image of a man and woman in a kitchen [SEP]
images/3910513.jpg,f000fe8e-3264-4dd8-b1e6-e5673e77366c,an image of a man being taken from a cart [SEP]
images/3910499.jpg,4be215d4-7afb-440f-a2de-24ba1c17b6b6,an image of a woman and two children [SEP]
images/3910489.jpg,8264688d-40c0-495a-be96-9bc68e483e05,an image of a group of men sitting on a bench [SEP]
images/3910517.jpg,119e38c9-3626-463b-8fc7-a5ff6a6d043d,an image of a group of people dancing [SEP]
images/3910503.jpg,816d6454-825c-4521-8e8c-3b17dfd60409,an image of a man in a crown [SEP]
images/3910463.jpg,ad14e2c9-130f-433b-9add-0e48af634c81,an image of a group of people in a medieval setting [SEP]
images/3910477.jpg,6dd9d704-f369-4367-9602-05773b65782c,an image of a man being carried by a woman [SEP]
images/3910461.jpg,d9922968-5f48-42ef-8c9d-f81ad9a8e4cf,an image of a man being taken from a woman [SEP]
images/3910475.jpg,e90cfaf5-7114-4386-a3da-aa4cc37e0f97,"an image of two men in a street, one is holding a dog [SEP]"
images/3910449.jpg,19ff3e94-9216-489c-9ba9-14332414b6d4,an image of a man and a child [SEP]
images/3910515.jpg,9a937900-15eb-4dc6-92c6-7a857a339408,an image of a man being dragged by a man [SEP]
images/3910501.jpg,c55b2404-7a9b-445c-9fcd-e9dcbac5e73b,an image of a man with a book [SEP]
images/3910529.jpg,bf70adf8-e3e2-4770-bdb2-760fd1d70e5b,an image of a woman holding a child [SEP]
images/3983668.jpg,657cd311-077f-455f-b96a-5b8202158a59,an image of a man being taken from a woman [SEP]
images/3910559.jpg,9d7b338d-783b-461f-856b-8799decf310c,an image of a man with a beard [SEP]
images/3910439.jpg,e2f90eb5-b935-4f62-8b66-0791ad80e863,an image of a man sitting on a rock [SEP]
images/3910429.jpg,920ca713-5f8c-439e-a818-d5bbf91d4fcc,an image of a man on a horse with a dog [SEP]
images/3910561.jpg,760d1279-1af3-4b1d-afaa-5e9d34a57c85,an image of jesus being the head of jesus to a man [SEP]
images/3910549.jpg,8cf65298-d930-4e77-ab94-50b791eda083,an image of a painting of a group of people [SEP]
